Id,WorkoutId,HorseId,WorkoutTypeId,Distance,WorkoutDistanceTypeId,Minutes,Seconds,Fifths,Comment,CreatedAt
130574,914,20192397,22,0.0,,,,,,2023-03-20 14:40:29
130575,914,20202687,2,3.0,,,36.0,4.0,RIDDEN,2023-03-20 14:41:08
130576,914,20190924,4,0.0,,,,,,2023-03-20 14:41:20
130577,914,20200198,24,0.0,,,,,,2023-03-20 14:41:40
130578,914,20201660,24,0.0,,,,,,2023-03-20 14:41:59
130579,914,20180779,24,0.0,,,,,,2023-03-20 14:42:12
130580,914,20200729,24,0.0,,,,,,2023-03-20 14:42:32
130581,914,20180173,24,0.0,,,,,,2023-03-20 14:42:51
130582,914,20203331,6,5.0,,1.0,1.0,,RIDDEN,2023-03-20 14:43:45
130583,914,20171238,24,0.0,,,,,,2023-03-20 14:44:10
130584,914,20203048,24,0.0,,,,,,2023-03-20 14:44:26
130585,914,20170291,14,0.0,,,,,,2023-03-20 14:44:41
130586,914,20202834,24,0.0,,,,,,2023-03-20 14:45:00
130587,914,20191683,14,0.0,,,,,,2023-03-20 14:45:17
130588,914,20191198,25,0.0,,,,,,2023-03-20 14:45:59
130589,914,20192726,24,0.0,,,,,,2023-03-20 14:46:22
130590,914,20192342,24,0.0,,,,,,2023-03-20 14:46:32
130591,914,20200183,2,4.0,,,50.0,2.0,,2023-03-20 14:47:00
130592,914,20190904,24,0.0,,,,,,2023-03-20 14:47:11
130593,914,20201271,24,0.0,,,,,,2023-03-20 14:47:26
130594,914,20200714,24,0.0,,,,,,2023-03-20 14:47:38
130595,914,20192160,24,0.0,,,,,,2023-03-20 14:47:53
130596,914,20171516,23,0.0,,,,,,2023-03-20 14:48:10
130597,914,20201599,2,3.0,,,37.0,,,2023-03-20 14:48:40
130598,914,20172215,14,0.0,,,,,,2023-03-20 14:48:59
130599,914,20160268,24,0.0,,,,,,2023-03-20 14:49:12
130600,914,20200294,25,0.0,,,,,,2023-03-20 14:49:30
130601,914,20201039,24,0.0,,,,,,2023-03-20 14:49:48
130602,914,20200138,14,0.0,,,,,,2023-03-20 14:50:11
130603,914,20201115,1,0.0,1.0,,,,,2023-03-20 14:50:32
130604,914,20203124,2,3.0,,,35.0,,RIDDEN,2023-03-20 14:51:08
130605,914,20191658,25,0.0,,,,,,2023-03-20 14:51:17
130606,914,20192251,24,0.0,,,,,,2023-03-20 14:51:35
130607,914,20202389,24,0.0,,,,,,2023-03-20 14:51:55
130608,914,20170695,24,0.0,,,,,,2023-03-20 14:52:07
130609,914,20190368,24,0.0,,,,,,2023-03-20 14:52:26
130610,914,20181963,24,0.0,,,,,,2023-03-20 14:52:37
130611,914,20202263,2,4.0,,,49.0,4.0,RIDDEN,2023-03-20 14:53:23
130612,914,20181812,2,4.0,1.0,,49.0,4.0,RIDDEN,2023-03-20 14:53:55
130613,914,20200305,24,0.0,,,,,,2023-03-20 14:54:20
130614,914,20201620,24,0.0,,,,,,2023-03-20 14:54:36
130615,914,20192817,4,0.0,,,,,,2023-03-20 14:54:56
130616,914,20151116,14,0.0,,,,,,2023-03-20 14:55:22
130617,914,20201468,2,3.0,,,36.0,4.0,RIDDEN,2023-03-20 14:55:54
130618,914,20192488,14,0.0,,,,,,2023-03-20 14:56:17
130619,914,20200623,24,0.0,,,,,,2023-03-20 14:56:33
130620,914,20203371,24,0.0,,,,,,2023-03-20 14:57:03
130621,914,20202223,24,0.0,,,,,,2023-03-20 14:57:18
130622,914,20203028,14,0.0,,,,,,2023-03-20 14:57:44
130623,914,20203295,24,0.0,,,,,,2023-03-20 14:58:02
130624,914,20171627,14,0.0,,,,,,2023-03-20 14:58:13
130625,914,20201897,14,0.0,,,,,,2023-03-20 14:59:52
130626,914,20190999,24,0.0,,,,,,2023-03-20 15:00:05
130627,914,20200754,2,5.0,,1.0,2.0,,RIDDEN,2023-03-20 15:00:52
130628,914,20162151,4,0.0,,,,,,2023-03-20 15:01:08
130629,914,20192039,2,4.0,3.0,,51.0,,,2023-03-20 15:02:10
130630,914,20202889,2,3.0,,,38.0,3.0,,2023-03-20 15:02:43
130631,914,20190717,4,0.0,,,,,,2023-03-20 15:03:04
130632,914,20190848,25,0.0,,,,,,2023-03-20 15:03:21
130633,914,20201640,24,0.0,,,,,,2023-03-20 15:03:35
130634,914,20200603,24,0.0,,,,,,2023-03-20 15:03:50
130635,914,20200825,14,0.0,,,,,,2023-03-20 15:04:08
130636,914,20153034,14,0.0,,,,,,2023-03-20 15:04:26
130637,914,20191941,14,0.0,,,,,,2023-03-20 15:04:47
130638,914,20190373,24,0.0,,,,,,2023-03-20 15:05:01
130639,914,20201706,1,0.0,1.0,,,,,2023-03-20 15:05:21
130640,914,20180219,24,0.0,,,,,,2023-03-20 15:05:40
130641,914,20190959,14,0.0,,,,,,2023-03-20 15:06:01
130642,914,20190500,1,0.0,1.0,,,,,2023-03-20 15:06:16
130643,914,20200683,24,0.0,,,,,,2023-03-20 15:06:57
130644,914,20200269,24,0.0,,,,,,2023-03-20 15:07:21
130645,914,20181938,14,0.0,,,,,,2023-03-20 15:07:37
