Id,Name,CountryBredId,ColorId,IsEnabled,CreatedAt
19560193,SHESHOON,,8.0,1,2020-09-15 06:25:43
19560219,INTENTIONALLY,,,1,2020-09-15 06:25:43
19560239,HOIST AWAY,,1.0,1,2020-09-15 06:25:43
19560517,TUDOR MELODY,,,1,2020-09-15 06:25:43
19560597,CORTACHY,,,1,2020-09-15 06:25:43
19560633,ROMAN ROAD,,,1,2020-09-15 06:25:43
19560673,LUCKY GUY,,,1,2020-09-15 06:25:43
19560756,HILLMAN,,,1,2020-09-15 06:25:43
19560832,DON POGGIO,,8.0,1,2020-09-15 06:25:43
19560855,HERBAGER,,1.0,1,2020-09-15 06:25:43
19560895,BRANDY SAUCE,,,1,2020-09-15 06:25:43
19560931,SOVEREIGN PATH,,,1,2020-09-15 06:25:43
19560971,CAPUCHON,,9.0,1,2020-09-15 06:25:43
19560991,DAYBROOK LAD,,,1,2020-09-15 06:25:43
19561514,WATCH YOUR STEP,,,1,2020-09-15 06:25:43
19561716,GREAT ONE,,,1,2020-09-15 06:25:43
19561978,TABOUN,,,1,2020-09-15 06:25:43
19561998,ABOVE SUSPICION,,,1,2020-09-15 06:25:43
19563018,AMBER MORN,,1.0,1,2020-09-15 06:25:43
19563038,ST. CRESPIN III,,,1,2020-09-15 06:25:43
19563058,GALIVANTER,,,1,2020-09-15 06:25:43
19563078,CRAFTY SKIPPER,,8.0,1,2020-09-15 06:25:43
19563098,ELYSIUM II,,,1,2020-09-15 06:25:43
19563134,NOHOLME II,,8.0,1,2020-09-15 06:25:43
19563154,PARTHIA,,1.0,1,2020-09-15 06:25:43
19563174,FIDALGO,,,1,2020-09-15 06:25:43
19563194,FIRESTREAK,,8.0,1,2020-09-15 06:25:43
19563210,OBSCURITY,,8.0,1,2020-09-15 06:25:43
19563230,IMMORTALITY,,,1,2020-09-15 06:25:43
19563250,FINAL SESSION,,,1,2020-09-15 06:25:43
19563270,SWORD DANCER,,8.0,1,2020-09-15 06:25:43
19563290,ROYAL ORBIT,,8.0,1,2020-09-15 06:25:43
19563316,LITTLE TYTUS,,,1,2020-09-15 06:25:44
19570015,TIZIANO II,,,1,2020-09-15 06:25:44
19570075,VICTORIA PARK,,8.0,1,2020-09-15 06:25:44
19570095,HIDDEN TREASURE II,,,1,2020-09-15 06:25:44
19570111,ROB ROY III,,1.0,1,2020-09-15 06:25:44
19570131,ROYAL SPREAD,,1.0,1,2020-09-15 06:25:44
19570151,ARTURO A,,1.0,1,2020-09-15 06:25:44
19570170,TIN WHISTLE,,8.0,1,2020-09-15 06:25:44
19570171,FIRE PLAY,,,1,2020-09-15 06:25:44
19570190,NEGOTIATION,,8.0,1,2020-09-15 06:25:44
19570217,T. V. LARK,,,1,2020-09-15 06:25:44
19570237,MOSLEM CHIEF,,1.0,1,2020-09-15 06:25:44
19570555,ROAD HOUSE II,,,1,2020-09-15 06:25:44
19570737,CELTIC ASH,,8.0,1,2020-09-15 06:25:44
19570776,FRANCIS S,,1.0,1,2020-09-15 06:25:44
19570919,HIGH HAT,,,1,2020-09-15 06:25:44
19570939,NULLI SECUNDUS,,,1,2020-09-15 06:25:44
19570999,MIDSUMMER NIGHT II,,,1,2020-09-15 06:25:44
19571416,BLAST,,,1,2020-09-15 06:25:44
19571572,NICE GUY,,,1,2020-09-15 06:25:44
19571792,MONET,,8.0,1,2020-09-15 06:25:44
19571936,SING SING,,,1,2020-09-15 06:25:44
